epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.65017,1.23218,7.98815,1.20222,0.00126,0.84615,0.0526,0.03272,0.84362,3.79063,0.98445,0.00020004,0.00020004,0.00020004
2,13.3754,1.22656,4.52769,1.17012,0.00128,0.84615,0.29126,0.24014,0.86817,3.59481,0.94051,0.000412624,0.000412624,0.000412624
3,18.6643,1.1992,4.67622,1.11364,0.00145,0.88462,0.14657,0.1053,0.93314,3.69529,0.95728,0.000620917,0.000620917,0.000620917
4,25.3133,1.32035,3.59254,1.19757,0.00148,0.96154,0.26703,0.19505,0.96955,3.70048,1.01875,0.00082492,0.00082492,0.00082492
5,29.9564,1.33609,3.60938,1.19434,0.00144,0.96154,0.05456,0.03203,1.22915,3.89918,1.23777,0.00102463,0.00102463,0.00102463
6,35.1927,1.16855,3.7991,1.11134,0.57756,0.11111,0.10701,0.05478,1.35871,3.71939,1.26389,0.00122005,0.00122005,0.00122005
7,41.6336,1.25246,4.14936,1.15588,0.79791,0.11111,0.10037,0.06173,1.38894,4.1088,1.36319,0.00141118,0.00141118,0.00141118
8,46.674,1.4064,3.1819,1.34396,0.5,0.10955,0.17569,0.09644,1.80392,4.49559,1.77446,0.00155148,0.00155148,0.00155148
9,51.356,1.21255,3.50986,1.16795,0.06491,0.16667,0.03494,0.01129,1.75088,7.39634,1.74992,0.00153497,0.00153497,0.00153497
10,58.2494,1.33461,3.02915,1.31044,0.23229,0.13248,0.09022,0.05663,2.00644,4.29527,1.91144,0.00151847,0.00151847,0.00151847
11,62.9276,1.13207,2.88738,1.10968,0.52585,0.17318,0.15947,0.08041,1.61283,3.75347,1.63078,0.00150197,0.00150197,0.00150197
12,69.2509,1.35079,2.67203,1.23365,0.91673,0.50168,0.64257,0.46745,1.18952,2.53014,1.2517,0.00148546,0.00148546,0.00148546
13,74.4578,1.28312,2.99566,1.23349,0.92088,0.53255,0.64644,0.38251,1.51818,2.19751,1.53425,0.00146896,0.00146896,0.00146896
14,79.5764,1.20731,2.12274,1.18571,0.82801,0.60501,0.68084,0.44735,1.38652,2.01191,1.39021,0.00145246,0.00145246,0.00145246
15,86.4173,1.25521,2.70876,1.18301,0.62006,0.57581,0.55365,0.36689,1.28686,2.36664,1.21853,0.00143595,0.00143595,0.00143595
16,91.3034,1.27335,2.14722,1.27159,0.69514,0.45329,0.62636,0.38045,1.44571,2.58749,1.25485,0.00141945,0.00141945,0.00141945
17,96.1592,1.08438,2.16976,1.08867,0.80459,0.40583,0.60091,0.3681,1.19383,2.07553,1.18845,0.00140295,0.00140295,0.00140295
18,103.139,1.17158,2.30371,1.16102,0.65629,0.70085,0.69817,0.45854,1.30224,1.97064,1.28416,0.00138644,0.00138644,0.00138644
19,107.96,1.33674,2.16131,1.32945,0.95996,0.62542,0.73321,0.54385,1.1505,1.78067,1.21307,0.00136994,0.00136994,0.00136994
20,113.191,1.11583,1.87839,1.1152,0.84266,0.6274,0.73062,0.46735,1.16031,1.86634,1.18687,0.00135344,0.00135344,0.00135344
21,119.059,1.20884,1.80165,1.17672,0.85237,0.81088,0.90043,0.61761,1.04839,1.31562,1.11594,0.00133693,0.00133693,0.00133693
22,123.883,1.35231,2.09678,1.24279,0.79588,0.8347,0.88661,0.60032,1.08554,1.16916,1.17807,0.00132043,0.00132043,0.00132043
23,130.284,1.06016,1.79709,1.09541,0.89135,0.90598,0.94092,0.66077,1.03334,1.05462,1.14795,0.00130393,0.00130393,0.00130393
